nombre,partido,bancada
"Alarcón, Florcita",PH,PH
"Alessandri, Jorge",UDI,VC
"Alinco, René",PPD,LA
"Alvarez, Jenny",PS,LA
"Alvarez, Sebastián",EVOP,VC
"Alvarez-Salamanca, Pedro Pablo",UDI,VC
"Amar, Sandra",UDI,VC
"Ascencio, Gabriel",DC,LA
"Auth, Pepe",IND,IND
"Baltolu, Nino",UDI,VC
"Barrera, Boris",PC,AD
"Barros, Ramón",UDI,VC
"Bellolio, Jaime",UDI,VC
"Berger, Bernardo",RN,VC
"Bernales, Alejandro",PL,LA
"Bianchi, Karim",PR,LA
"Bobadilla, Sergio",UDI,VC
"Boric, Gabriel",CS,AD
"Brito, Jorge",RD,AD
"Calisto, Miguel Ángel",DC,LA
"Cariola, Karol",PC,AD
"Carter, Álvaro",UDI,VC
"Carvajal, Loreto",PPD,LA
"Castillo, Natalia",RD,AD
"Castro, José Miguel",RN,VC
"Castro, Juan Luis",PS,LA
"Celis, Andrés",RN,VC
"Celis, Ricardo",PPD,LA
"Cicardini, Daniella",PS,LA
"Cid, Sofía",RN,VC
"Coloma, Juan Antonio",UDI,VC
"Crispi, Miguel",RD,AD
"Cruz-Coke, Luciano",EVOP,VC
"Cuevas, Nora",UDI,VC
"Del Real, Catalina",RN,VC
"Desbordes, Mario",RN,VC
"Díaz, Marcelo",PS,LA
"Durán, Eduardo",RN,VC
"Durán, Jorge",RN,VC
"Eguiguren, Francisco",RN,VC
"Espinoza, Fidel",PS,LA
"Fernández, Maya",PS,LA
"Flores, Camila",RN,VC
"Flores, Iván",DC,LA
"Fuentes, Tomás Andrés",RN,VC
"Fuenzalida, Gonzalo",RN,VC
"Fuenzalida, Juan",UDI,VC
"Gahona, Sergio",UDI,VC
"Galleguillos, Ramón",RN,VC
"García, René Manuel",RN,VC
"Garín, Renato",RD,AD
"Girardi, Cristina",PPD,LA
"González, Félix",PEV,PEV
"González, Rodrigo",PPD,LA
"Gutiérrez, Hugo",PC,AD
"Hernández, Javier",UDI,VC
"Hernando, Marcela",PR,LA
"Hertz, Carmen",PC,AD
"Hirsch, Tomás",PH,PH
"Hoffmann, María José",UDI,VC
"Ibáñez, Diego",CS,AD
"Ilabaca, Marcos",PS,LA
"Jackson, Giorgio",RD,AD
"Jarpa, Carlos Abel",PR,LA
"Jiles, Pamela",PH,PH
"Jiménez, Tucapel",PPD,LA
"Jürgensen, Harry",RN,VC
"Kast, Pablo",EVOP,VC
"Keitel, Sebastián",EVOP,VC
"Kort, Issa",UDI,VC
"Kuschel, Carlos",RN,VC
"Labra, Amaro",PC,AD
"Lavín, Joaquín",UDI,VC
"Leiva, Raúl",PS,LA
"Leuquén, Aracely",RN,VC
"Longton, Andrés",RN,VC
"Lorenzini, Pablo",DC,LA
"Luck, Karin",RN,VC
"Macaya, Javier",UDI,VC
"Marzán, Carolina",PPD,LA
"Matta, Manuel",DC,LA
"Melero, Patricio",UDI,VC
"Mellado, Cosme",PR,LA
"Mellado, Miguel",RN,VC
"Meza, Fernando",PR,LA
"Mirosevic, Vlado",PL,LA
"Mix, Claudia",COMUNES,AD
"Molina, Andrés",EVOP,VC
"Monsalve, Manuel",PS,LA
"Moraga, Rubén",PC,AD
"Morales, Celso",UDI,VC
"Morán, Camilo",RN,VC
"Moreira, Cristhian",UDI,VC
"Mulet, Jaime",FREVS,AD
"Muñoz, Francesca",RN,VC
"Naranjo, Jaime",PS,LA
"Noman, Nicolás",UDI,VC
"Norambuena, Iván",UDI,VC
"Núñez, Daniel",PC,AD
"Núñez, Paulina",RN,VC
"Nuyado, Emilia",PS,LA
"Olivera, Erika",RN,VC
"Orsini, Maite",RD,AD
"Ortiz, José Miguel",DC,LA
"Ossandón, Ximena",RN,VC
"Pardo, Luis",RN,VC
"Parra, Andrea",PPD,LA
"Paulsen, Diego",RN,VC
"Pérez, Catalina",RD,AD
"Pérez, Joanna",DC,LA
"Pérez, José",PR,LA
"Pérez, Leopoldo",RN,VC
"Prieto, Pablo",RN,VC
"Ramírez, Guillermo",UDI,VC
"Rathgeb, Jorge",RN,VC
"Rentería, Rolando",UDI,VC
"Rey, Hugo",RN,VC
"Rocafull, Luis",PS,LA
"Rojas, Camila",COMUNES,AD
"Romero, Leonidas",RN,VC
"Rosas, Patricio",PS,LA
"Rubio, Patricia",PPD,LA
"Saavedra, Gastón",PS,LA
"Sabag, Jorge",DC,LA
"Sabat, Marcela",RN,VC
"Saffirio, René",IND,IND
"Saldívar, Raúl",PS,LA
"Sandoval, Marcela",RD,AD
"Sanhueza, Gustavo",UDI,VC
"Santana, Alejandro",RN,VC
"Santana, Juan",PS,LA
"Santibáñez, Marisela",PC,AD
"Sauerbaum, Frank",RN,VC
"Schalper, Diego",RN,VC
"Schilling, Marcelo",PS,LA
"Sepúlveda, Alejandra",FREVS,AD
"Sepúlveda, Alexis",PR,LA
"Silber, Gabriel",DC,LA
"Soto, Leonardo",PS,LA
"Soto, Raúl",PPD,LA
"Teillier, Guillermo",PC,AD
"Tohá, Jaime",PS,LA
"Torrealba, Sebastián",RN,VC
"Torres, Víctor",DC,LA
"Trisotti, Renzo",UDI,VC
"Troncoso, Virginia",UDI,VC
"Undurraga, Francisco",EVOP,VC
"Urrutia, Ignacio",PLR,VC
"Urrutia, Osvaldo",UDI,VC
"Urruticoechea, Cristóbal",RN,VC
"Vallejo, Camila",PC,AD
"Van Rysselberghe, Enrique",UDI,VC
"Velásquez, Esteban",FREVS,AD
"Velásquez, Pedro",FREVS,AD
"Venegas, Mario",DC,LA
"Verdessi, Daniel",DC,LA
"Vidal, Pablo",RD,AD
"Von Mühlenbrock, Gastón",UDI,VC
"Walker, Matías",DC,LA
"Winter, Gonzalo",CS,AD
"Yeomans, Gael",CS,AD
